concept,listas_de_termos,listas_de_valores_de_termos
0,"['overview', 'overview found', 'found', 'overview yet', 'overview available', 'yet', 'movie overview', 'movie overview available', 'available', 'one']","[0.6453421973135662, 0.6144308193723403, 0.45369266028006217, 0.005422516487307037, 0.0030414794482919645, 0.0029932096018091964, 0.0024243249534291115, 0.0024243249534291115, 0.0023411339152163745, 0.0015485719327061854]"
1,"['life', 'young', 'one', 'man', 'love', 'new', 'family', 'two', 'film', 'story']","[0.17689092873103326, 0.16682952433058418, 0.1616317525098969, 0.15283644568669727, 0.14020667189730254, 0.13561949571818707, 0.1292832648724801, 0.12810294666584604, 0.12558790276654666, 0.1181242169951916]"
2,"['film', 'war', 'world', 'documentary', 'story', 'world war', 'ii', 'war ii', 'world war ii', 'based']","[0.49984777351833415, 0.22878924157066308, 0.20441200983845895, 0.19671173578896126, 0.16794190258116068, 0.13946063885536855, 0.11093732011081034, 0.10850759850400661, 0.10821463168290178, 0.09744311259409941]"
3,"['young', 'woman', 'man', 'love', 'young woman', 'war', 'young man', 'falls', 'world war', 'falls love']","[0.32796201747726317, 0.3059783551976753, 0.26144432657612127, 0.1962457835407513, 0.15501701128572798, 0.15175722708002878, 0.12000557261168651, 0.10741761483687708, 0.09508151460627594, 0.09308061660910073]"
4,"['new', 'york', 'new york', 'city', 'new york city', 'york city', 'woman', 'young', 'man', 'young woman']","[0.37504150509393475, 0.33754481965649885, 0.33712227600867223, 0.19773809284177074, 0.17950435085390984, 0.17950435085390984, 0.13716431530349027, 0.10885904885607671, 0.07802110051572185, 0.06672214697149666]"
5,"['war', 'world', 'world war', 'war ii', 'world war ii', 'ii', 'group', 'town', 'find', 'must']","[0.33423733849570836, 0.2576185211724945, 0.21482683937236233, 0.1729427371972006, 0.17250180423334618, 0.1722177250069087, 0.08814997505216435, 0.08719050067633652, 0.0862895661815604, 0.07622435165016231]"
6,"['new', 'old', 'year', 'year old', 'war', 'york', 'new york', 'world', 'world war', 'war ii']","[0.23970753564163425, 0.23969165769398848, 0.2351512424822714, 0.23304307856119594, 0.21861160168835403, 0.212609394408097, 0.2123938138409338, 0.17803413304389146, 0.1607571891054467, 0.1314877759608784]"
7,"['school', 'love', 'high', 'high school', 'falls', 'story', 'falls love', 'girl', 'students', 'student']","[0.43927110895683785, 0.39115623636032415, 0.30655111765840554, 0.29191589093955, 0.16301578751922344, 0.15375022400114105, 0.14849206878499385, 0.11021327910036861, 0.09740404296335192, 0.09499182570802352]"
8,"['young', 'school', 'man', 'woman', 'film', 'high', 'high school', 'young woman', 'young man', 'old']","[0.32368334210653943, 0.266840869374147, 0.23026159055723092, 0.1981375877640744, 0.19176807784932864, 0.18780859433104083, 0.17395218382577265, 0.14358213868372424, 0.12326570426635727, 0.10785270019832206]"
9,"['two', 'one', 'old', 'year', 'year old', 'men', 'love', 'police', 'women', 'three']","[0.3141197802028755, 0.24275117343927824, 0.1757581793827774, 0.17020958723922675, 0.15093142839179982, 0.14033162224964502, 0.1329962225279013, 0.07641584381176109, 0.07059010621508831, 0.059045000710472396]"
10,"['town', 'small', 'small town', 'family', 'film', 'two', 'story', 'young', 'father', 'girl']","[0.45533130982472214, 0.30304339515754614, 0.2267816830459067, 0.1570240732331397, 0.1395498005414955, 0.12338512334938273, 0.11030038051236132, 0.10345868235043171, 0.09330642351925525, 0.07462713798670048]"
11,"['man', 'story', 'town', 'small', 'small town', 'true', 'life', 'true story', 'based', 'young man']","[0.4366390251907235, 0.3779317310674545, 0.31363426552024387, 0.2132297485717247, 0.16096012215302516, 0.15686584300859555, 0.13340025162263106, 0.1272510410640411, 0.10441205794169954, 0.09850198784780301]"
12,"['story', 'young', 'life', 'woman', 'two', 'true', 'young woman', 'true story', 'based', 'one']","[0.3653934037782869, 0.23944108967872585, 0.22802907485929844, 0.15750280956938295, 0.1515055638350934, 0.1361606559945702, 0.1326936103963021, 0.12424781625679324, 0.10853733640111145, 0.09475007918098322]"
13,"['life', 'town', 'small', 'woman', 'small town', 'world', 'one', 'young woman', 'documentary', 'day']","[0.3840090195610456, 0.30911193760478906, 0.23204365588180553, 0.23015421792690882, 0.16439811700146775, 0.12399097389760251, 0.11982544953098644, 0.10585218916216328, 0.10029525422678144, 0.07764051941350097]"
14,"['woman', 'murder', 'story', 'police', 'killer', 'detective', 'husband', 'wife', 'life', 'help']","[0.19549224036756938, 0.16969477179600134, 0.16502922495537364, 0.15003382546595107, 0.12826456459122695, 0.12143312059523709, 0.11886179709601512, 0.11410142517411073, 0.08121640166503574, 0.07831097383172601]"
15,"['young', 'girl', 'boy', 'must', 'find', 'father', 'young girl', 'group', 'love', 'evil']","[0.2914778855925997, 0.27921662712422235, 0.1777842099204077, 0.15368210053631443, 0.11537953160376566, 0.1121928120034007, 0.09846793653550885, 0.09785631494568572, 0.09569990472412436, 0.0899253103930393]"
16,"['one', 'family', 'documentary', 'woman', 'american', 'story', 'day', 'love', 'group', 'people']","[0.3236424984325413, 0.2815436054778617, 0.16961053996051878, 0.15435473262742672, 0.1020720771300943, 0.10061113797883384, 0.09307088726989846, 0.08442233000776092, 0.08281998654971767, 0.07325727884779344]"
17,"['one', 'girl', 'father', 'mother', 'documentary', 'young', 'murder', 'day', 'son', 'one day']","[0.31406750261154304, 0.26413963468035395, 0.2401100504863046, 0.19729635522989264, 0.18990625166282243, 0.12302405722682992, 0.1198365290802046, 0.11965778468909428, 0.09960456351366463, 0.08624261045247564]"
18,"['family', 'documentary', 'two', 'police', 'killer', 'life', 'murder', 'detective', 'girl', 'american']","[0.3413432526490173, 0.3139408835792412, 0.20858496812877902, 0.18267197761641885, 0.15889676143614642, 0.1504686039682231, 0.1435167057895886, 0.11199614150314097, 0.10876717568011053, 0.10680379698898111]"
19,"['documentary', 'father', 'son', 'mother', 'two', 'woman', 'man', 'daughter', 'people', 'earth']","[0.42121902938394873, 0.3002359323235006, 0.18635867304939524, 0.17996929753811552, 0.15216005021013262, 0.12978334191769406, 0.11890140335361284, 0.10403805980673128, 0.08388373573853321, 0.07673544066288518]"
20,"['girl', 'documentary', 'get', 'movie', 'gets', 'woman', 'time', 'overview', 'big', 'story']","[0.29935503469962477, 0.23868119678698546, 0.21671874186377305, 0.16927090452826174, 0.11870708201518436, 0.1150598091009108, 0.11455487117885535, 0.10801608767567036, 0.09296290949764671, 0.08774990309596849]"
21,"['three', 'killer', 'years', 'serial', 'serial killer', 'women', 'group', 'friends', 'documentary', 'movie']","[0.2825915445092668, 0.23893404782328606, 0.16923545804265913, 0.16556493133914216, 0.15261441266339137, 0.1402964387825209, 0.12386631717265342, 0.1224641690018559, 0.11352358957204844, 0.10566733786349257]"
22,"['world', 'husband', 'two', 'best', 'girl', 'friend', 'murder', 'woman', 'father', 'find']","[0.39711760181857697, 0.15119451390589372, 0.14257992541172412, 0.13932042242982387, 0.12191889873459914, 0.12133981261976648, 0.1154623299570923, 0.11018690769362027, 0.10731000501932222, 0.10315860624005517]"
23,"['girl', 'find', 'documentary', 'friends', 'war', 'three', 'finds', 'people', 'american', 'film']","[0.25628163730586556, 0.20443099938887999, 0.16866075546595305, 0.1670294240751151, 0.1467096225886473, 0.14504433373265854, 0.13998444657917888, 0.1304191560878351, 0.11337938605089723, 0.10009125094157335]"
24,"['comedy', 'girl', 'find', 'three', 'woman', 'special', 'father', 'stand', 'death', 'american']","[0.3973385286375577, 0.23643019809297341, 0.20559277546134488, 0.16836501667235662, 0.15440236850598416, 0.1251358015977547, 0.1222492072962255, 0.10570963929176269, 0.09511561206304016, 0.09239656353149775]"
